,date,0_4,5_11,12_18,19_49,50_64,65+,65_diff,50_64_diff,19_49_diff,12_18_diff,5_11_diff
267,08/25/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
268,08/26/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
269,08/27/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
270,08/28/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
271,08/29/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
272,08/30/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
273,08/31/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
274,09/01/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
275,09/02/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
276,09/03/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
277,09/04/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
278,09/05/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
279,09/06/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
280,09/07/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
281,09/08/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
282,09/09/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
283,09/10/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
284,09/11/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
285,09/12/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
286,09/13/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
287,09/14/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
288,09/15/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
289,09/16/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
290,09/17/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
291,09/18/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
292,09/19/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
293,09/20/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
294,09/21/2023,0,1643606.7142857183,1921268.0,19209000.813795093,9555826.186204903,23258790.0,0.0,0.0,0.0,0.0,0.0
