,date,0_4,5_11,12_18,19_49,50_64,65+,65_diff,50_64_diff,19_49_diff,12_18_diff,5_11_diff
209,06/28/2023,0,0,0,0,0,0,0.0,0,0,0,0
210,06/29/2023,0,0,0,0,0,0,0.0,0,0,0,0
211,06/30/2023,0,0,0,0,0,0,0.0,0,0,0,0
212,07/01/2023,0,0,0,0,0,0,0.0,0,0,0,0
213,07/02/2023,0,0,0,0,0,0,0.0,0,0,0,0
214,07/03/2023,0,0,0,0,0,0,0.0,0,0,0,0
215,07/04/2023,0,0,0,0,0,0,0.0,0,0,0,0
216,07/05/2023,0,0,0,0,0,0,0.0,0,0,0,0
217,07/06/2023,0,0,0,0,0,0,0.0,0,0,0,0
218,07/07/2023,0,0,0,0,0,0,0.0,0,0,0,0
219,07/08/2023,0,0,0,0,0,0,0.0,0,0,0,0
220,07/09/2023,0,0,0,0,0,0,0.0,0,0,0,0
221,07/10/2023,0,0,0,0,0,0,0.0,0,0,0,0
222,07/11/2023,0,0,0,0,0,0,0.0,0,0,0,0
223,07/12/2023,0,0,0,0,0,0,0.0,0,0,0,0
224,07/13/2023,0,0,0,0,0,0,0.0,0,0,0,0
225,07/14/2023,0,0,0,0,0,0,0.0,0,0,0,0
226,07/15/2023,0,0,0,0,0,0,0.0,0,0,0,0
227,07/16/2023,0,0,0,0,0,0,0.0,0,0,0,0
228,07/17/2023,0,0,0,0,0,0,0.0,0,0,0,0
229,07/18/2023,0,0,0,0,0,0,0.0,0,0,0,0
230,07/19/2023,0,0,0,0,0,0,0.0,0,0,0,0
231,07/20/2023,0,0,0,0,0,0,0.0,0,0,0,0
232,07/21/2023,0,0,0,0,0,0,0.0,0,0,0,0
233,07/22/2023,0,0,0,0,0,0,0.0,0,0,0,0
234,07/23/2023,0,0,0,0,0,0,0.0,0,0,0,0
235,07/24/2023,0,0,0,0,0,0,0.0,0,0,0,0
236,07/25/2023,0,0,0,0,0,0,0.0,0,0,0,0
237,07/26/2023,0,0,0,0,0,0,0.0,0,0,0,0
238,07/27/2023,0,0,0,0,0,0,0.0,0,0,0,0
239,07/28/2023,0,0,0,0,0,0,0.0,0,0,0,0
240,07/29/2023,0,0,0,0,0,0,0.0,0,0,0,0
241,07/30/2023,0,0,0,0,0,0,0.0,0,0,0,0
