,date,school,work
494,12/14/2023,1,1
495,12/15/2023,1,1
496,12/16/2023,0,0
497,12/17/2023,0,0
498,12/18/2023,0,1
499,12/19/2023,0,1
500,12/20/2023,0,1
501,12/21/2023,0,1
502,12/22/2023,0,1
503,12/23/2023,0,0
504,12/24/2023,0,0
505,12/25/2023,0,1
506,12/26/2023,0,1
507,12/27/2023,0,1
508,12/28/2023,0,1
509,12/29/2023,0,1
510,12/30/2023,0,0
511,12/31/2023,0,0
512,1/1/2024,0,1
513,1/2/2024,1,1
514,1/3/2024,1,1
515,1/4/2024,1,1
516,1/5/2024,1,1
517,1/6/2024,0,0
518,1/7/2024,0,0
519,1/8/2024,1,1
520,1/9/2024,1,1
521,1/10/2024,1,1
522,1/11/2024,1,1
523,1/12/2024,1,1
524,1/13/2024,0,0
525,1/14/2024,0,0
526,1/15/2024,1,1
527,1/16/2024,1,1
528,1/17/2024,1,1
529,1/18/2024,1,1
530,1/19/2024,1,1
531,1/20/2024,0,0
532,1/21/2024,0,0
533,1/22/2024,1,1
534,1/23/2024,1,1
535,1/24/2024,1,1
536,1/25/2024,1,1
537,1/26/2024,1,1
538,1/27/2024,0,0
539,1/28/2024,0,0
540,1/29/2024,1,1
541,1/30/2024,1,1
542,1/31/2024,1,1
543,2/1/2024,1,1
544,2/2/2024,1,1
545,2/3/2024,0,0
546,2/4/2024,0,0
547,2/5/2024,1,1
548,2/6/2024,1,1
549,2/7/2024,1,1
550,2/8/2024,1,1
551,2/9/2024,1,1
552,2/10/2024,0,0
553,2/11/2024,0,0
554,2/12/2024,1,1
555,2/13/2024,1,1
556,2/14/2024,1,1
557,2/15/2024,1,1
558,2/16/2024,1,1
559,2/17/2024,0,0
560,2/18/2024,0,0
561,2/19/2024,1,1
562,2/20/2024,1,1
563,2/21/2024,1,1
564,2/22/2024,1,1
565,2/23/2024,1,1
566,2/24/2024,0,0
567,2/25/2024,0,0
568,2/26/2024,1,1
569,2/27/2024,1,1
570,2/28/2024,1,1
571,2/29/2024,1,1
572,3/1/2024,1,1
573,3/2/2024,0,0
574,3/3/2024,0,0
575,3/4/2024,1,1
576,3/5/2024,1,1
577,3/6/2024,1,1
578,3/7/2024,1,1
579,3/8/2024,1,1
580,3/9/2024,0,0
581,3/10/2024,0,0
582,3/11/2024,0,1
583,3/12/2024,0,1
584,3/13/2024,0,1
585,3/14/2024,0,1
586,3/15/2024,0,1
587,3/16/2024,0,0
588,3/17/2024,0,0
589,3/18/2024,1,1
590,3/19/2024,1,1
591,3/20/2024,1,1
592,3/21/2024,1,1
593,3/22/2024,1,1
594,3/23/2024,0,0
595,3/24/2024,0,0
596,3/25/2024,1,1
597,3/26/2024,1,1
598,3/27/2024,1,1
599,3/28/2024,1,1
600,3/29/2024,1,1
601,3/30/2024,0,0
602,3/31/2024,0,0
603,4/1/2024,1,1
604,4/2/2024,1,1
605,4/3/2024,1,1
606,4/4/2024,1,1
607,4/5/2024,1,1
608,4/6/2024,0,0
609,4/7/2024,0,0
610,4/8/2024,1,1
611,4/9/2024,1,1
612,4/10/2024,1,1
613,4/11/2024,1,1
614,4/12/2024,1,1
615,4/13/2024,0,0
616,4/14/2024,0,0
617,4/15/2024,1,1
618,4/16/2024,1,1
619,4/17/2024,1,1
620,4/18/2024,1,1
621,4/19/2024,1,1
622,4/20/2024,0,0
623,4/21/2024,0,0
624,4/22/2024,1,1
625,4/23/2024,1,1
626,4/24/2024,1,1
627,4/25/2024,1,1
628,4/26/2024,1,1
629,4/27/2024,0,0
630,4/28/2024,0,0
631,4/29/2024,1,1
632,4/30/2024,1,1
633,5/1/2024,1,1
634,5/2/2024,1,1
635,5/3/2024,1,1
636,5/4/2024,0,0
637,5/5/2024,0,0
638,5/6/2024,1,1
639,5/7/2024,1,1
640,5/8/2024,1,1
641,5/9/2024,1,1
642,5/10/2024,1,1
643,5/11/2024,0,0
644,5/12/2024,0,0
645,5/13/2024,1,1
646,5/14/2024,1,1
647,5/15/2024,1,1
648,5/16/2024,1,1
649,5/17/2024,1,1
650,5/18/2024,0,0
651,5/19/2024,0,0
652,5/20/2024,1,1
653,5/21/2024,1,1
654,5/22/2024,1,1
655,5/23/2024,1,1
656,5/24/2024,1,1
657,5/25/2024,0,0
658,5/26/2024,0,0
659,5/27/2024,1,1
660,5/28/2024,1,1
661,5/29/2024,1,1
662,5/30/2024,0,1
663,5/31/2024,0,1
664,6/1/2024,0,0
665,6/2/2024,0,0
666,6/3/2024,0,1
667,6/4/2024,0,1
668,6/5/2024,0,1
669,6/6/2024,0,1
670,6/7/2024,0,1
671,6/8/2024,0,0
672,6/9/2024,0,0
673,6/10/2024,0,1
674,6/11/2024,0,1
