date,0_1,2_4,5_11,12_18,19_49,50_64,65+
8/24/23,332.136986,0,0,0,0,18031.10507,100985.433
8/25/23,332.136986,0,0,0,0,18031.10507,100985.433
8/27/23,332.136986,0,0,0,0,27262.92966,164916.7362
8/28/23,332.136986,0,0,0,0,27262.92966,164916.7362
8/29/23,332.136986,0,0,0,0,27262.92966,164916.7362
8/30/23,332.136986,0,0,0,0,27262.92966,164916.7362
8/31/23,332.136986,0,0,0,0,27262.92966,164916.7362
9/1/23,52428.88889,0,0,0,0,27262.92966,164916.7362
9/3/23,52428.88889,0,0,0,0,45791.93089,226163.6706
9/4/23,52428.88889,0,0,0,0,45791.93089,226163.6706
9/5/23,52428.88889,0,0,0,0,45791.93089,226163.6706
9/6/23,52428.88889,0,0,0,0,45791.93089,226163.6706
9/7/23,52428.88889,0,0,0,0,45791.93089,226163.6706
9/8/23,52428.88889,0,0,0,0,45791.93089,226163.6706
9/10/23,52428.88889,0,0,0,0,60008.05783,275771.2536
9/11/23,52428.88889,0,0,0,0,60008.05783,275771.2536
9/12/23,52428.88889,0,0,0,0,60008.05783,275771.2536
9/13/23,52428.88889,0,0,0,0,60008.05783,275771.2536
9/14/23,52428.88889,0,0,0,0,60008.05783,275771.2536
9/15/23,52428.88889,0,0,0,0,60008.05783,275771.2536
9/17/23,52428.88889,0,0,0,0,71623.65007,319394.2038
9/18/23,52428.88889,0,0,0,0,71623.65007,319394.2038
9/19/23,52428.88889,0,0,0,0,71623.65007,319394.2038
9/20/23,52428.88889,0,0,0,0,71623.65007,319394.2038
9/21/23,52428.88889,0,0,0,0,71623.65007,319394.2038
9/22/23,52428.88889,0,0,0,0,71623.65007,319394.2038
9/24/23,52428.88889,0,0,0,0,91975.00131,392877.7945
9/25/23,52428.88889,0,0,0,0,91975.00131,392877.7945
9/26/23,52428.88889,0,0,0,0,91975.00131,392877.7945
9/27/23,52428.88889,0,0,0,0,91975.00131,392877.7945
9/28/23,52428.88889,0,0,0,0,91975.00131,392877.7945
9/29/23,52428.88889,0,0,0,0,91975.00131,392877.7945
10/1/23,52428.88889,0,0,0,0,117009.8122,478417.0947
10/2/23,52428.88889,0,0,0,0,117009.8122,478417.0947
10/3/23,52428.88889,0,0,0,0,117009.8122,478417.0947
10/4/23,52428.88889,0,0,0,0,117009.8122,478417.0947
10/5/23,52428.88889,0,0,0,0,117009.8122,478417.0947
10/6/23,52428.88889,0,0,0,0,117009.8122,478417.0947
10/8/23,52428.88889,0,0,0,0,137510.8552,540896.2972
10/9/23,52428.88889,0,0,0,0,137510.8552,540896.2972
10/10/23,52428.88889,0,0,0,0,137510.8552,540896.2972
10/11/23,52428.88889,0,0,0,0,137510.8552,540896.2972
10/12/23,52428.88889,0,0,0,0,137510.8552,540896.2972
10/13/23,52428.88889,0,0,0,0,137510.8552,540896.2972
10/15/23,52428.88889,0,0,0,0,134636.9487,515009.0402
10/16/23,52428.88889,0,0,0,0,134636.9487,515009.0402
10/17/23,52428.88889,0,0,0,0,134636.9487,515009.0402
10/18/23,52428.88889,0,0,0,0,134636.9487,515009.0402
10/19/23,52428.88889,0,0,0,0,134636.9487,515009.0402
10/20/23,52428.88889,0,0,0,0,134636.9487,515009.0402
10/22/23,52428.88889,0,0,0,0,115150.9648,429088.4232
10/23/23,52428.88889,0,0,0,0,115150.9648,429088.4232
10/24/23,52428.88889,0,0,0,0,115150.9648,429088.4232
10/25/23,52428.88889,0,0,0,0,115150.9648,429088.4232
10/26/23,52428.88889,0,0,0,0,115150.9648,429088.4232
10/27/23,52428.88889,0,0,0,0,115150.9648,429088.4232
10/29/23,52428.88889,0,0,0,0,94209.41404,341542.971
10/30/23,52428.88889,0,0,0,0,94209.41404,341542.971
10/31/23,52428.88889,0,0,0,0,94209.41404,341542.971
11/1/23,52428.88889,0,0,0,0,94209.41404,341542.971
11/2/23,52428.88889,0,0,0,0,94209.41404,341542.971
11/3/23,52428.88889,0,0,0,0,94209.41404,341542.971
11/5/23,52428.88889,0,0,0,0,79223.87164,280001.5854
11/6/23,52428.88889,0,0,0,0,79223.87164,280001.5854
11/7/23,52428.88889,0,0,0,0,79223.87164,280001.5854
11/8/23,52428.88889,0,0,0,0,79223.87164,280001.5854
11/9/23,52428.88889,0,0,0,0,79223.87164,280001.5854
11/10/23,52428.88889,0,0,0,0,79223.87164,280001.5854
11/12/23,52428.88889,0,0,0,0,67390.45209,232103.9108
11/13/23,52428.88889,0,0,0,0,67390.45209,232103.9108
11/14/23,52428.88889,0,0,0,0,67390.45209,232103.9108
11/15/23,52428.88889,0,0,0,0,67390.45209,232103.9108
11/16/23,52428.88889,0,0,0,0,67390.45209,232103.9108
11/17/23,52428.88889,0,0,0,0,67390.45209,232103.9108
11/19/23,52428.88889,0,0,0,0,52363.65611,172634.0698
11/20/23,52428.88889,0,0,0,0,52363.65611,172634.0698
11/21/23,52428.88889,0,0,0,0,52363.65611,172634.0698
11/22/23,52428.88889,0,0,0,0,52363.65611,172634.0698
11/23/23,52428.88889,0,0,0,0,52363.65611,172634.0698
11/24/23,52428.88889,0,0,0,0,52363.65611,172634.0698
11/26/23,52428.88889,0,0,0,0,39054.98818,121058.7509
11/27/23,52428.88889,0,0,0,0,39054.98818,121058.7509
11/28/23,52428.88889,0,0,0,0,39054.98818,121058.7509
11/29/23,52428.88889,0,0,0,0,39054.98818,121058.7509
11/30/23,52428.88889,0,0,0,0,39054.98818,121058.7509
12/1/23,52428.88889,0,0,0,0,39054.98818,121058.7509
12/3/23,52428.88889,0,0,0,0,29801.04907,86546.7463
12/4/23,52428.88889,0,0,0,0,29801.04907,86546.7463
12/5/23,52428.88889,0,0,0,0,29801.04907,86546.7463
12/6/23,52428.88889,0,0,0,0,29801.04907,86546.7463
12/7/23,52428.88889,0,0,0,0,29801.04907,86546.7463
12/8/23,52428.88889,0,0,0,0,29801.04907,86546.7463
12/10/23,52428.88889,0,0,0,0,25344.23402,71927.09027
12/11/23,52428.88889,0,0,0,0,25344.23402,71927.09027
12/12/23,52428.88889,0,0,0,0,25344.23402,71927.09027
12/13/23,52428.88889,0,0,0,0,25344.23402,71927.09027
12/14/23,52428.88889,0,0,0,0,25344.23402,71927.09027
12/15/23,52428.88889,0,0,0,0,25344.23402,71927.09027
12/17/23,52428.88889,0,0,0,0,22892.66006,65998.46434
12/18/23,52428.88889,0,0,0,0,22892.66006,65998.46434
12/19/23,52428.88889,0,0,0,0,22892.66006,65998.46434
12/20/23,52428.88889,0,0,0,0,22892.66006,65998.46434
12/21/23,52428.88889,0,0,0,0,22892.66006,65998.46434
12/22/23,52428.88889,0,0,0,0,22892.66006,65998.46434
12/24/23,52428.88889,0,0,0,0,21686.74103,64963.62432
12/25/23,52428.88889,0,0,0,0,21686.74103,64963.62432
12/26/23,52428.88889,0,0,0,0,21686.74103,64963.62432
12/27/23,52428.88889,0,0,0,0,21686.74103,64963.62432
12/28/23,52428.88889,0,0,0,0,21686.74103,64963.62432
12/29/23,52428.88889,0,0,0,0,21686.74103,64963.62432
