date,0_1,2_4,5_11,12_18,19_49,50_64,65+
06/20/2023,58.44748858447488,0,0,0,0,0.0,0.0
06/21/2023,58.44748858447488,0,0,0,0,0.0,0.0
06/22/2023,58.44748858447488,0,0,0,0,0.0,0.0
06/23/2023,58.44748858447488,0,0,0,0,0.0,0.0
06/24/2023,58.44748858447488,0,0,0,0,0.0,0.0
06/25/2023,58.44748858447488,0,0,0,0,0.0,0.0
06/26/2023,58.44748858447488,0,0,0,0,0.0,0.0
06/27/2023,58.44748858447488,0,0,0,0,0.0,0.0
06/28/2023,58.44748858447488,0,0,0,0,0.0,0.0
06/29/2023,58.44748858447488,0,0,0,0,0.0,0.0
06/30/2023,58.44748858447488,0,0,0,0,0.0,0.0
07/01/2023,58.44748858447488,0,0,0,0,0.0,0.0
07/02/2023,58.44748858447488,0,0,0,0,0.0,0.0
07/03/2023,58.44748858447488,0,0,0,0,0.0,0.0
07/04/2023,58.44748858447488,0,0,0,0,0.0,0.0
07/05/2023,58.44748858447488,0,0,0,0,0.0,0.0
07/06/2023,58.44748858447488,0,0,0,0,0.0,0.0
07/07/2023,58.44748858447488,0,0,0,0,0.0,0.0
07/08/2023,58.44748858447488,0,0,0,0,0.0,0.0
07/09/2023,58.44748858447488,0,0,0,0,0.0,0.0
07/10/2023,58.44748858447488,0,0,0,0,0.0,0.0
07/11/2023,58.44748858447488,0,0,0,0,0.0,0.0
07/12/2023,58.44748858447488,0,0,0,0,0.0,0.0
07/13/2023,58.44748858447488,0,0,0,0,0.0,0.0
07/14/2023,58.44748858447488,0,0,0,0,0.0,0.0
07/15/2023,58.44748858447488,0,0,0,0,0.0,0.0
07/16/2023,58.44748858447488,0,0,0,0,0.0,0.0
07/17/2023,58.44748858447488,0,0,0,0,0.0,0.0
07/18/2023,58.44748858447488,0,0,0,0,0.0,0.0
07/19/2023,58.44748858447488,0,0,0,0,0.0,0.0
07/20/2023,58.44748858447488,0,0,0,0,0.0,0.0
07/21/2023,58.44748858447488,0,0,0,0,0.0,0.0
07/22/2023,58.44748858447488,0,0,0,0,0.0,0.0
07/23/2023,58.44748858447488,0,0,0,0,0.0,0.0
07/24/2023,58.44748858447488,0,0,0,0,0.0,0.0
07/25/2023,58.44748858447488,0,0,0,0,0.0,0.0
07/26/2023,58.44748858447488,0,0,0,0,0.0,0.0
07/27/2023,58.44748858447488,0,0,0,0,0.0,0.0
07/28/2023,58.44748858447488,0,0,0,0,0.0,0.0
07/29/2023,58.44748858447488,0,0,0,0,0.0,0.0
07/30/2023,58.44748858447488,0,0,0,0,0.0,0.0
08/06/2023,58.44748858447488,0,0,0,0,0.0,0.0
08/07/2023,58.44748858447488,0,0,0,0,0.0,0.0
08/08/2023,58.44748858447488,0,0,0,0,0.0,0.0
08/09/2023,58.44748858447488,0,0,0,0,0.0,0.0
08/10/2023,58.44748858447488,0,0,0,0,0.0,0.0
08/11/2023,58.44748858447488,0,0,0,0,0.0,0.0
08/13/2023,58.44748858447488,0,0,0,0,10273.218903009674,43297.75444787481
08/14/2023,58.44748858447488,0,0,0,0,10273.218903009674,43297.75444787481
08/15/2023,58.44748858447488,0,0,0,0,10273.218903009674,43297.75444787481
08/16/2023,58.44748858447488,0,0,0,0,10273.218903009674,43297.75444787481
08/17/2023,58.44748858447488,0,0,0,0,10273.218903009674,43297.75444787481
08/18/2023,58.44748858447488,0,0,0,0,10273.218903009674,43297.75444787481
08/20/2023,58.44748858447488,0,0,0,0,18031.105071592738,100985.43302720152
08/21/2023,58.44748858447488,0,0,0,0,18031.105071592738,100985.43302720152
08/22/2023,58.44748858447488,0,0,0,0,18031.105071592738,100985.43302720152
08/23/2023,58.44748858447488,0,0,0,0,18031.105071592738,100985.43302720152
08/24/2023,58.44748858447488,0,0,0,0,18031.105071592738,100985.43302720152
08/25/2023,58.44748858447488,0,0,0,0,18031.105071592738,100985.43302720152
08/27/2023,58.44748858447488,0,0,0,0,27262.92965871895,164916.73623015475
08/28/2023,58.44748858447488,0,0,0,0,27262.92965871895,164916.73623015475
08/29/2023,58.44748858447488,0,0,0,0,27262.92965871895,164916.73623015475
08/30/2023,58.44748858447488,0,0,0,0,27262.92965871895,164916.73623015475
08/31/2023,58.44748858447488,0,0,0,0,27262.92965871895,164916.73623015475
09/01/2023,52428.88888888888,0,0,0,0,27262.92965871895,164916.73623015475
09/03/2023,52428.88888888888,0,0,0,0,45791.930890169264,226163.67059463545
09/04/2023,52428.88888888888,0,0,0,0,45791.930890169264,226163.67059463545
09/05/2023,52428.88888888888,0,0,0,0,45791.930890169264,226163.67059463545
09/06/2023,52428.88888888888,0,0,0,0,45791.930890169264,226163.67059463545
09/07/2023,52428.88888888888,0,0,0,0,45791.930890169264,226163.67059463545
09/08/2023,52428.88888888888,0,0,0,0,45791.930890169264,226163.67059463545
09/10/2023,52428.88888888888,0,0,0,0,60008.05783030898,275771.25356423244
09/11/2023,52428.88888888888,0,0,0,0,60008.05783030898,275771.25356423244
09/12/2023,52428.88888888888,0,0,0,0,60008.05783030898,275771.25356423244
09/13/2023,52428.88888888888,0,0,0,0,60008.05783030898,275771.25356423244
