,date,0_1,2_4,5_11,12_18,19_49,50_64,65+,65_diff,50_64_diff,19_49_diff,12_18_diff,5_11_diff
330,08/29/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
331,08/30/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
332,08/31/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
333,09/01/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
334,09/02/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
335,09/03/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
336,09/04/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
337,09/05/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
338,09/06/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
339,09/07/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
340,09/08/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
341,09/09/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
342,09/10/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
343,09/11/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
344,09/12/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
345,09/13/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
346,09/14/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
347,09/15/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
348,09/16/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
349,09/17/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
350,09/18/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
351,09/19/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
